"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
23,"Valais / Wallis",2019,"Schweiz","Öffentliche Wälder","Nadelholz","92467","40694","13216","38546","18374","20172","11"
23,"Valais / Wallis",2019,"Schweiz","Öffentliche Wälder","Laubholz","7056","0","117","6939","4116","2823","0"
23,"Valais / Wallis",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","4031","1115","274","2642","1973","669","0"
23,"Valais / Wallis",2019,"Schweiz","Privatwälder","Nadelholz","2975","1115","249","1611","1012","599","0"
23,"Valais / Wallis",2019,"Schweiz","Privatwälder","Laubholz","1056","0","25","1031","961","70","0"
24,"Neuchâtel",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","136055","85976","12922","37039","12502","24537","118"
24,"Neuchâtel",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","101365","80661","4521","16143","1779","14364","40"
24,"Neuchâtel",2019,"Schweiz","Eigentümertyp - Total","Laubholz","34690","5315","8401","20896","10723","10173","78"
24,"Neuchâtel",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","88892","53847","8227","26700","6746","19954","118"
24,"Neuchâtel",2019,"Schweiz","Öffentliche Wälder","Nadelholz","64784","50251","2679","11814","391","11423","40"
24,"Neuchâtel",2019,"Schweiz","Öffentliche Wälder","Laubholz","24108","3596","5548","14886","6355","8531","78"
24,"Neuchâtel",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","47163","32129","4695","10339","5756","4583","0"
24,"Neuchâtel",2019,"Schweiz","Privatwälder","Nadelholz","36581","30410","1842","4329","1388","2941","0"
24,"Neuchâtel",2019,"Schweiz","Privatwälder","Laubholz","10582","1719","2853","6010","4368","1642","0"
25,"Genève",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","7285","719","262","6282","1435","4847","22"
25,"Genève",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","587","307","258","0","0","0","22"
25,"Genève",2019,"Schweiz","Eigentümertyp - Total","Laubholz","6698","412","4","6282","1435","4847","0"
25,"Genève",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","4763","557","255","3942","1215","2727","9"
25,"Genève",2019,"Schweiz","Öffentliche Wälder","Nadelholz","565","303","254","0","0","0","9"
25,"Genève",2019,"Schweiz","Öffentliche Wälder","Laubholz","4198","255","2","3942","1215","2727","0"
25,"Genève",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","2522","162","7","2340","220","2120","13"
25,"Genève",2019,"Schweiz","Privatwälder","Nadelholz","22","4","4","0","0","0","13"
25,"Genève",2019,"Schweiz","Privatwälder","Laubholz","2500","157","2","2340","220","2120","0"
26,"Jura",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","174847","70412","50786","53649","17079","36570","0"
26,"Jura",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","85431","44971","24028","16432","2594","13838","0"
