 "taxonLabel" , "artenGruppeLabel" , "status" , "year" , "totalSpecies" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "8" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "40" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "0" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "43" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2007-01-01" , "3" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2007-01-01" , "10" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2007-01-01" , "8" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2007-01-01" , "19" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2007-01-01" , "19" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2007-01-01" , "43" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2007-01-01" , "3" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "5" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "17" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "9" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "16" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "5" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "29" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2002-01-01" , "2" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2002-01-01" , "12" ,
 "Odonata" , "Libellen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2002-01-01" , "7" ,
